method,threshold,corruption,severity,accuracy,error_rate,nll,entropy,ece,runtime_sec,selected_fraction,num_samples,subset_size,tta_lr,tta_steps
gated,0.5,brightness,3,0.6290000081062317,0.3709999918937683,1.0449014902114868,0.9160623550415039,0.04741626977920532,1.526392699999974,0.714,2000,2000,0.001,1
gated,0.7,brightness,3,0.6334999799728394,0.36650002002716064,1.0401092767715454,0.9174437522888184,0.04359966516494751,1.4915967999999964,0.475,2000,2000,0.001,1
gated,0.9,brightness,3,0.6274999976158142,0.3725000023841858,1.0444562435150146,0.92243891954422,0.04728870466351509,1.5348674000000244,0.2315,2000,2000,0.001,1
source,,brightness,4,0.4684999883174896,0.5315000116825104,1.69563889503479,0.963477611541748,0.1842292845249176,0.8087835000000041,0.0,2000,2000,,
bn,,brightness,4,0.565500020980835,0.43449997901916504,1.2636339664459229,1.0426650047302246,0.06867311894893646,0.7744122000000004,1.0,2000,2000,,
entropy,,brightness,4,0.5740000009536743,0.4259999990463257,1.2209352254867554,0.9976451396942139,0.0726395845413208,1.5141670999999803,1.0,2000,2000,0.001,1
gated,0.5,brightness,4,0.5734999775886536,0.42650002241134644,1.2172629833221436,0.998889148235321,0.07355576008558273,1.4969038000000126,0.6785,2000,2000,0.001,1
gated,0.7,brightness,4,0.5745000243186951,0.42549997568130493,1.21126389503479,1.000045657157898,0.07106033712625504,1.5241190999999787,0.4135,2000,2000,0.001,1
gated,0.9,brightness,4,0.5699999928474426,0.4300000071525574,1.219696044921875,1.0068567991256714,0.07322414219379425,1.5557130999999913,0.1875,2000,2000,0.001,1
source,,brightness,5,0.38499999046325684,0.6150000095367432,2.032534122467041,1.0177879333496094,0.24629588425159454,0.754002000000014,0.0,2000,2000,,
bn,,brightness,5,0.4814999997615814,0.5185000002384186,1.5705312490463257,1.1166778802871704,0.12178502976894379,0.7315673999999888,1.0,2000,2000,,
entropy,,brightness,5,0.49900001287460327,0.5009999871253967,1.5208719968795776,1.0772206783294678,0.11774132400751114,1.477394099999998,1.0,2000,2000,0.001,1
gated,0.5,brightness,5,0.5049999952316284,0.4950000047683716,1.5044441223144531,1.078053593635559,0.11156316846609116,1.485638300000005,0.635,2000,2000,0.001,1
gated,0.7,brightness,5,0.5055000185966492,0.49449998140335083,1.4949052333831787,1.080729365348816,0.11030856519937515,1.526929999999993,0.357,2000,2000,0.001,1
gated,0.9,brightness,5,0.5005000233650208,0.49949997663497925,1.5232250690460205,1.0884357690811157,0.11319848150014877,1.560821400000009,0.1415,2000,2000,0.001,1
source,,contrast,1,0.6924999952316284,0.3075000047683716,0.8877172470092773,0.794955313205719,0.02822844684123993,0.8194570999999939,0.0,2000,2000,,
bn,,contrast,1,0.703000009059906,0.296999990940094,0.8388611078262329,0.8353588581085205,0.016651520505547523,0.7646689999999978,1.0,2000,2000,,
entropy,,contrast,1,0.703499972820282,0.296500027179718,0.8256575465202332,0.7956838011741638,0.023495176807045937,1.5258360999999923,1.0,2000,2000,0.001,1
gated,0.5,contrast,1,0.703499972820282,0.296500027179718,0.8258059024810791,0.7966058850288391,0.030236676335334778,1.5495099000000039,0.776,2000,2000,0.001,1
gated,0.7,contrast,1,0.703499972820282,0.296500027179718,0.827073872089386,0.7996588945388794,0.03167405724525452,1.6345639999999833,0.55,2000,2000,0.001,1
gated,0.9,contrast,1,0.7014999985694885,0.2985000014305115,0.8281922340393066,0.8037329316139221,0.0343443900346756,1.6301184000000148,0.32,2000,2000,0.001,1
source,,contrast,2,0.6259999871253967,0.37400001287460327,1.0921968221664429,0.9104913473129272,0.057406920939683914,0.7490301999999929,0.0,2000,2000,,
bn,,contrast,2,0.7009999752044678,0.2990000247955322,0.8464235663414001,0.8392171859741211,0.026697872206568718,0.7419375000000059,1.0,2000,2000,,
entropy,,contrast,2,0.7074999809265137,0.29250001907348633,0.8343740701675415,0.7992371916770935,0.03128151223063469,1.5674479999999846,1.0,2000,2000,0.001,1
gated,0.5,contrast,2,0.7064999938011169,0.29350000619888306,0.8350234627723694,0.8006417155265808,0.027311045676469803,1.6220433999999955,0.776,2000,2000,0.001,1
gated,0.7,contrast,2,0.7049999833106995,0.29500001668930054,0.8354235887527466,0.8028051853179932,0.02503071539103985,1.6201211999999998,0.548,2000,2000,0.001,1
gated,0.9,contrast,2,0.7045000195503235,0.2954999804496765,0.8356660008430481,0.8080626726150513,0.025886399671435356,1.5879880999999898,0.316,2000,2000,0.001,1
source,,contrast,3,0.4754999876022339,0.5245000123977661,1.609788179397583,1.0787070989608765,0.13476316630840302,0.7881782000000044,0.0,2000,2000,,
bn,,contrast,3,0.6965000033378601,0.3034999966621399,0.8687576651573181,0.8478711843490601,0.02833261899650097,0.8037673000000041,1.0,2000,2000,,
entropy,,contrast,3,0.7024999856948853,0.29750001430511475,0.8580951690673828,0.8086196184158325,0.03036477230489254,1.6267718000000002,1.0,2000,2000,0.001,1
gated,0.5,contrast,3,0.703000009059906,0.296999990940094,0.8584740161895752,0.810267984867096,0.025981707498431206,1.6501145000000008,0.767,2000,2000,0.001,1
gated,0.7,contrast,3,0.7055000066757202,0.2944999933242798,0.8588597178459167,0.8118237257003784,0.028389733284711838,1.627395100000001,0.5405,2000,2000,0.001,1
gated,0.9,contrast,3,0.6995000243186951,0.30049997568130493,0.8610090613365173,0.8174231052398682,0.03415246307849884,1.6467169000000013,0.3105,2000,2000,0.001,1
source,,contrast,4,0.31150001287460327,0.6884999871253967,2.5697097778320312,1.2443817853927612,0.23564231395721436,0.8393369000000064,0.0,2000,2000,,
bn,,contrast,4,0.6759999990463257,0.3240000009536743,0.9278602004051208,0.8670896291732788,0.02705734223127365,0.8101447999999891,1.0,2000,2000,,
entropy,,contrast,4,0.6804999709129333,0.31950002908706665,0.9167425632476807,0.8277631998062134,0.032093629240989685,1.7105492999999967,1.0,2000,2000,0.001,1
gated,0.5,contrast,4,0.6804999709129333,0.31950002908706665,0.9181258082389832,0.8294782638549805,0.03595496714115143,1.6307117000000062,0.75,2000,2000,0.001,1
gated,0.7,contrast,4,0.6809999942779541,0.3190000057220459,0.9198365807533264,0.8326310515403748,0.03703992813825607,1.5721116999999936,0.5185,2000,2000,0.001,1
gated,0.9,contrast,4,0.6809999942779541,0.3190000057220459,0.9243011474609375,0.8365781903266907,0.039735738188028336,1.5862989000000027,0.3025,2000,2000,0.001,1
source,,contrast,5,0.19699999690055847,0.8030000030994415,3.289132595062256,1.50584876537323,0.23084519803524017,0.8348848999999916,0.0,2000,2000,,
bn,,contrast,5,0.6334999799728394,0.36650002002716064,1.0540125370025635,0.9022161960601807,0.04741079360246658,0.8122055000000046,1.0,2000,2000,,
entropy,,contrast,5,0.640999972820282,0.359000027179718,1.047607183456421,0.858987033367157,0.05614186450839043,1.5764001999999948,1.0,2000,2000,0.001,1
gated,0.5,contrast,5,0.6380000114440918,0.3619999885559082,1.0466481447219849,0.8617300391197205,0.057098809629678726,1.574348399999991,0.733,2000,2000,0.001,1
gated,0.7,contrast,5,0.640500009059906,0.359499990940094,1.0480331182479858,0.863852322101593,0.053860198706388474,1.5750858000000107,0.507,2000,2000,0.001,1
gated,0.9,contrast,5,0.637499988079071,0.36250001192092896,1.0559836626052856,0.8708502054214478,0.053625013679265976,1.599351999999982,0.2915,2000,2000,0.001,1
source,,pixelate,1,0.6150000095367432,0.38499999046325684,1.1091015338897705,0.8472611308097839,0.08289460837841034,0.7430041000000074,0.0,2000,2000,,
bn,,pixelate,1,0.656000018119812,0.343999981880188,0.9617986679077148,0.9122949242591858,0.02611333131790161,0.7107007999999837,1.0,2000,2000,,
entropy,,pixelate,1,0.6614999771118164,0.3385000228881836,0.9481847882270813,0.8719244003295898,0.03521785885095596,1.4958739000000207,1.0,2000,2000,0.001,1
gated,0.5,pixelate,1,0.6600000262260437,0.3399999737739563,0.9487465023994446,0.8735079169273376,0.032934077084064484,1.4984396000000118,0.7285,2000,2000,0.001,1
gated,0.7,pixelate,1,0.659500002861023,0.34049999713897705,0.9486848711967468,0.8759526014328003,0.030624160543084145,1.5720910000000003,0.4985,2000,2000,0.001,1
gated,0.9,pixelate,1,0.6579999923706055,0.34200000762939453,0.9534679651260376,0.8821384310722351,0.03347870707511902,1.5488401000000067,0.279,2000,2000,0.001,1
source,,pixelate,2,0.527999997138977,0.47200000286102295,1.4385769367218018,0.8558691740036011,0.16997095942497253,0.7197488999999848,0.0,2000,2000,,
bn,,pixelate,2,0.6274999976158142,0.3725000023841858,1.0671188831329346,0.954597532749176,0.03389814868569374,0.7419072999999798,1.0,2000,2000,,
entropy,,pixelate,2,0.6334999799728394,0.36650002002716064,1.0508265495300293,0.9126927256584167,0.04694060981273651,1.48903660000002,1.0,2000,2000,0.001,1
gated,0.5,pixelate,2,0.6359999775886536,0.36400002241134644,1.0496350526809692,0.9145590662956238,0.041259728372097015,1.5324227000000121,0.71,2000,2000,0.001,1
gated,0.7,pixelate,2,0.6340000033378601,0.3659999966621399,1.0507067441940308,0.9177407026290894,0.042909640818834305,1.5391561000000138,0.4685,2000,2000,0.001,1
gated,0.9,pixelate,2,0.6305000185966492,0.36949998140335083,1.0554383993148804,0.9242232441902161,0.04195471853017807,1.557218799999987,0.247,2000,2000,0.001,1
source,,pixelate,3,0.4440000057220459,0.5559999942779541,1.8724339008331299,0.8792769908905029,0.24999959766864777,0.7333233999999891,0.0,2000,2000,,
bn,,pixelate,3,0.5730000138282776,0.4269999861717224,1.2236881256103516,1.0148460865020752,0.06934231519699097,0.7227935999999886,1.0,2000,2000,,
entropy,,pixelate,3,0.5824999809265137,0.41750001907348633,1.2034327983856201,0.97097247838974,0.07941494882106781,1.4694135000000017,1.0,2000,2000,0.001,1
gated,0.5,pixelate,3,0.5820000171661377,0.4179999828338623,1.2029744386672974,0.9733628034591675,0.07828746736049652,1.5603874000000246,0.679,2000,2000,0.001,1
gated,0.7,pixelate,3,0.5795000195503235,0.4204999804496765,1.2035386562347412,0.976852297782898,0.07721210271120071,1.591965000000016,0.4425,2000,2000,0.001,1
